"pop2024","pop2025","population","growthRate","city","country","type","cca2","rank"
37115000,37036200,37036200,-0.00212,"Tokyo","Japan","w","JP",1
33807400,34665600,34665600,0.02538,"Delhi","India","w","IN",2
29867900,30482100,30482100,0.02056,"Shanghai","China","w","CN",3
23935700,24652900,24652900,0.02996,"Dhaka","Bangladesh","w","BD",4
22623900,23074200,23074200,0.0199,"Cairo","Egypt","w","EG",5
22806700,22990000,22990000,0.00804,"Sao Paulo","Brazil","w","BR",6
22505300,22752400,22752400,0.01098,"Mexico City","Mexico","w","MX",7
22189100,22596500,22596500,0.01836,"Beijing","China","w","CN",8
21673100,22089000,22089000,0.01919,"Mumbai","India","w","IN",9
18967500,18921600,18921600,-0.00242,"Osaka","Japan","w","JP",10
17773900,18171200,18171200,0.02235,"Chongqing","China","w","CN",11
17648600,18076800,18076800,0.02426,"Karachi","Pakistan","w","PK",12
17032300,17778500,17778500,0.04381,"Kinshasa","DR Congo","w","CD",13
16536000,17156400,17156400,0.03752,"Lagos","Nigeria","w","NG",14
16047400,16236700,16236700,0.0118,"Istanbul","Turkey","w","TR",15
15570800,15845200,15845200,0.01762,"Kolkata","India","w","IN",16
15618300,15752300,15752300,0.00858,"Buenos Aires","Argentina","w","AR",17
14942000,15230600,15230600,0.01931,"Manila","Philippines","w","PH",18
14590100,14878700,14878700,0.01978,"Guangzhou","China","w","CN",19
14407100,14825800,14825800,0.02906,"Lahore","Pakistan","w","PK",20
14470900,14704100,14704100,0.01612,"Tianjin","China","w","CN",21
14008300,14395400,14395400,0.02763,"Bangalore","India","w","IN",22
13824300,13923200,13923200,0.00715,"Rio de Janeiro","Brazil","w","BR",23
13311900,13545400,13545400,0.01754,"Shenzhen","China","w","CN",24
12712300,12737400,12737400,0.00197,"Moscow","Russia","w","RU",25
12053700,12336000,12336000,0.02342,"Chennai","India","w","IN",26
11658200,11795800,11795800,0.0118,"Bogota","Colombia","w","CO",27
11436000,11634100,11634100,0.01732,"Jakarta","Indonesia","w","ID",28
11361900,11517300,11517300,0.01368,"Lima","Peru","w","PE",29
11233900,11391700,11391700,0.01405,"Bangkok","Thailand","w","TH",30
11276700,11346800,11346800,0.00622,"Paris","France","w","FR",31
11068900,11337900,11337900,0.0243,"Hyderabad","India","w","IN",32
9947550,10174900,10174900,0.02285,"Nanjing","China","w","CN",33
9651030,10027900,10027900,0.03905,"Luanda","Angola","w","AO",34
10004800,10025800,10025800,0.0021,"Seoul","South Korea","w","KR",35
9828110,9998870,9998870,0.01737,"Chengdu","China","w","CN",36
9748030,9840740,9840740,0.00951,"London","United Kingdom","w","GB",37
9567660,9816320,9816320,0.02599,"Ho Chi Minh City","Vietnam","w","VN",38
9616010,9729740,9729740,0.01183,"Tehran","Iran","w","IR",39
9556880,9534790,9534790,-0.00231,"Nagoya","Japan","w","JP",40
9013840,9222080,9222080,0.0231,"Xi-an","China","w","CN",41
8854440,9061820,9061820,0.02342,"Ahmedabad","India","w","IN",42
8815630,9000280,9000280,0.02095,"Kuala Lumpur","Malaysia","w","MY",43
8850850,8986480,8986480,0.01532,"Wuhan","China","w","CN",44
8350620,8592820,8592820,0.029,"Suzhou","China","w","CN",45
8419840,8591040,8591040,0.02033,"Hangzhou","China","w","CN",46
8330530,8581730,8581730,0.03015,"Surat","India","w","IN",47
8161230,8561520,8561520,0.04905,"Dar es Salaam","Tanzania","w","TZ",48
7921130,8141120,8141120,0.02777,"Baghdad","Iraq","w","IQ",49
7830380,7974270,7974270,0.01838,"Shenyang","China","w","CN",50
7820550,7952860,7952860,0.01692,"Riyadh","Saudi Arabia","w","SA",51
8097282,7936530,7936530,-0.0198,"New York City","United States","us","US",52
7704940,7817160,7817160,0.01456,"Foshan","China","w","CN",53
7675150,7772860,7772860,0.01273,"Dongguan","China","w","CN",54
7725860,7768510,7768510,0.00552,"Hong Kong","Hong Kong","w","HK",55
7345850,7525720,7525720,0.02449,"Pune","India","w","IN",56
6938010,7066860,7066860,0.01857,"Haerbin","China","w","CN",57
6950950,6999460,6999460,0.00698,"Santiago","Chile","w","CL",58
6783240,6810530,6810530,0.00402,"Madrid","Spain","w","ES",59
